ex01 ex02 ex03 ex04 ex05 ex06 ex07 ex08 ex09 ex10 
16	8	30	9	8	7	9	7	7	6
17	12	27	7	8	12	10	11	8	10
10	8	28	6	12	9	13	8	8	13
9	8	26	10	12	7	13	8	9	7
9	14	31	9	10	8	6	7	7	10
9	8	20	10	10	8	9	7	8	8
8	8	11	9	7	7	10	8	7	8
8	10	13	9	7	6	9	8	6	8
9	9	9	12	8	7	10	10	7	6
9	8	10	7	8	12	14	9	7	8
8	9	8	10	9	8	9	9	8	7
8	9	8	11	9	10	8	9	8	6
9	8	8	9	7	9	9	8	10	8
12	10	8	8	8	10	12	8	11	18
11	8	9	7	8	8	8	9	7	9
8	8	8	8	9	8	10	9	8	8
9	11	10	15	9	8	8	6	8	9
10	9	13	7	7	12	10	8	8	9
9	10	9	9	9	8	10	7	8	8
9	8	10	8	7	10	8	9	9	13
7	8	10	11	12	9	11	8	8	8
9	9	11	9	8	9	7	7	7	11
9	8	8	9	8	8	7	7	8	7
10	9	9	8	9	11	11	8	8	10
10	8	18	8	14	8	9	7	8	7
9	8	9	11	12	9	8	7	11	21
8	7	9	9	10	9	8	9	8	28
9	9	9	9	11	8	8	10	6	20
9	9	7	8	8	9	19	8	7	13
7	10	10	12	7	8	7	7	8	19
10	9	10	19	11	9	12	7	7	7
7	9	9	8	7	9	9	7	9	9
9	8	10	9	8	9	8	8	9	9
8	8	10	8	7	9	9	13	7	7
7	8	13	10	8	8	8	10	12	8
10	8	10	8	14	8	8	9	9	9
10	8	12	14	8	10	19	10	7	8
9	8	9	7	8	10	8	8	7	12
8	9	9	9	9	8	8	8	11	6
10	8	13	7	8	8	9	12	8	7
8	8	11	7	7	8	7	10	9	10
9	7	9	10	9	8	8	10	14	8
8	8	9	9	10	9	8	9	7	7
11	8	9	8	7	11	9	7	9	7
8	9	9	9	7	7	9	12	7	9
9	9	11	15	8	8	9	7	8	8
8	8	9	9	7	9	10	9	8	10
8	8	10	11	9	10	7	9	8	7
8	7	10	14	7	15	8	13	7	9
7	9	10	8	8	9	6	5	8	8
8	9	10	10	8	12	8	8	9	10
8	9	9	7	6	9	6	8	7	7
9	8	8	7	7	9	10	8	9	10
8	8	10	10	9	11	7	8	11	8
9	9	10	8	10	7	8	7	8	7
8	8	12	8	8	10	8	8	9	10
7	8	8	9	15	8	7	7	11	7
8	9	10	12	9	36	13	8	10	6
9	7	9	8	8	11	9	8	6	9
8	7	8	7	8	13	9	11	8	9
8	8	9	8	17	22	6	9	7	8
8	8	8	9	10	19	8	9	8	8
8	8	9	8	8	20	8	9	9	10
9	10	7	12	8	19	13	12	8	9
8	8	9	10	11	13	12	8	9	9
9	7	11	8	8	12	9	8	7	11
8	8	11	8	7	8	7	10	8	8
34	9	9	8	7	9	8	10	7	9
8	8	7	11	8	9	9	8	6	8
12	7	11	7	7	8	11	8	13	6
15	8	11	9	7	10	9	9	7	6
8	14	7	8	7	13	9	16	8	7
8	8	10	8	9	16	7	10	8	10
8	8	11	8	11	17	7	10	8	7
9	7	12	8	8	10	10	11	8	8
8	8	10	8	8	9	9	7	7	8
8	8	9	13	12	8	9	7	7	7
7	8	11	6	9	8	10	10	8	9
9	8	9	8	9	9	11	8	8	8
8	9	11	10	9	8	6	11	7	8
10	9	9	8	8	10	9	9	6	8
9	7	12	7	7	15	10	8	9	10
8	8	11	20	7	9	11	8	13	6
9	9	10	9	9	10	12	9	7	7
7	8	7	10	8	15	8	7	10	7
8	8	9	11	7	23	11	9	9	7
8	9	8	10	10	17	12	8	13	7
10	10	8	12	10	8	9	9	9	7
8	9	8	9	9	17	9	7	9	10
9	7	9	10	8	10	8	8	8	6
9	10	12	8	8	8	11	7	7	6
10	8	9	12	7	8	8	11	11	9
9	10	9	7	10	8	16	11	9	7
12	8	9	8	9	11	9	8	9	6
11	12	17	10	9	8	9	8	12	10
7	26	8	9	9	12	7	9	8	8
9	22	11	7	8	12	10	11	12	6
9	37	10	11	10	9	10	8	7	7
8	30	8	8	6	9	11	7	8	9
